2015,2016,2017,2018
AE,AE,AE,AE
ALJ,ALJ,ANDV,AMR
APA,APA,APA,APA
APC,APC,APC,APC
AR,AR,AR,APY
AREX,AROC,ARCH,AR
AROC,ASC,AREX,ARCH
ASC,ATW,AROC,AREX
ATW,AXAS,ASC,AROC
AXAS,BBG,AXAS,ASC
BAS,BHI,BAS,AXAS
BBG,BRS,BBG,BAS
BCEI,CHK,BCEI,BCEI
BHI,CIE,BHGE,BHGE
BRS,CKH,BRS,BRS
BTU,CLNE,BTU,BRY
CAM,CLR,CDEV,BTU
CHK,CNX,CEIX,CDEV
CIE,COG,CHK,CEIX
CJES,COP,CJ,CHK
CKH,CPE,CKH,CJ
CLD,CRC,CLD,CKH
CLNE,CRR,CLNE,CLD
CLR,CRZO,CLR,CLNE
CNX,CVI,CNX,CLR
COG,CVX,COG,CNX
COP,CWEI,COP,COG
CPE,CXO,CPE,COP
CPGX,DHT,CRC,CPE
CRC,DK,CRR,CRC
CRR,DNR,CRZO,CRR
CRZO,DO,CVI,CRZO
CVI,DRQ,CVX,CVI
CVX,DVN,CXO,CVIA
CWEI,DWSN,DHT,CVX
CXO,ECR,DK,CXO
DHT,EGN,DNR,DHT
DK,EOG,DO,DK
DNR,EPE,DRQ,DNR
DO,EPM,DVN,DO
DRQ,EQT,ECR,DRQ
DVN,ERA,EGN,DVN
ECR,ERN,EOG,DWSN
EGN,ESTE,EPE,ECR
EOG,ESV,EPM,EOG
EPE,EXTN,EQT,EPE
EPM,FANG,ERA,EPM
EQT,FET,ESTE,EQT
ERA,FI,ESV,ERA
ERN,FMSA,EXTN,ESTE
ESTE,FRO,EXXI,ETRN
ESV,FTI,FANG,EXTN
EXTN,GEOS,FET,FANG
EXXI,GLNG,FI,FET
FANG,GLOG,FMSA,FI
FET,GNRT,FRAC,FRAC
FI,GPOR,FRO,FRO
FMSA,GPRE,GEOS,FTSI
FRO,HAL,GIFI,GDP
FTI,HES,GLNG,GLNG
GEOS,HFC,GLOG,GLOG
GLF,HLX,GNRT,GPOR
GLNG,HOS,GPOR,GPRE
GLOG,HP,GPRE,HAL
GNRT,ICD,GST,HES
GPOR,INSW,HAL,HFC
GPRE,INT,HES,HK
GST,ISRL,HFC,HLX
HAL,JONE,HK,HNRG
HES,KMI,HLX,HP
HFC,KOS,HNRG,HPR
HK,LNG,HP,ICD
HLX,LPG,ICD,INSW
HNRG,LPI,INSW,INT
HOS,MCF,INT,IO
HP,MDR,ISRL,ISRL
ICD,MPC,JAG,JAG
INT,MRO,JONE,KEG
IO,MTDR,KEG,KLXE
ISRL,MTRX,KMI,KMI
JONE,MUR,KOS,KOS
KEG,NAT,LLEX,LBRT
KMI,NBL,LNG,LLEX
KOS,NBR,LPG,LNG
LNG,NE,LPI,LPG
LPG,NFX,MCF,LPI
LPI,NGS,MDR,MDR
MCF,NNA,MPC,MPC
MDR,NOG,MPO,MPO
MHR,NOV,MRO,MRO
MPC,NR,MTDR,MTDR
MRD,OAS,MTRX,MTRX
MRO,OII,MUR,MUR
MTDR,OIS,NAT,NAT
MTRX,OKE,NBL,NBL
MUR,OSG,NBR,NBR
NADL,OXY,NC,NC
NAO,PARR,NCSM,NCSM
NAT,PBF,NE,NE
NBL,PDCE,NFX,NES
NBR,PE,NGS,NEXT
NE,PEIX,NNA,NFX
NFX,PES,NOV,NGS
NGS,PHIIK,NR,NINE
NNA,PHX,OAS,NOG
NOG,PKD,OII,NOV
NOV,PSX,OIS,NR
NR,PTEN,OKE,OAS
OAS,PXD,OSG,OII
OII,QEP,OXY,OIS
OIS,RDC,PARR,OKE
OKE,REGI,PBF,OSG
OXY,REI,PDCE,OXY
PARR,RES,PE,PARR
PBF,REX,PEIX,PBF
PDCE,RICE,PES,PDCE
PE,RIG,PHIIK,PE
PEIX,RNET,PHX,PES
PES,RRC,PKD,PFIE
PHIIK,RSPP,PSX,PHIIK
PHX,SDRL,PTEN,PHX
PKD,SE,PUMP,PSX
PSX,SEMG,PVAC,PTEN
PTEN,SFL,PXD,PUMP
PVA,SLB,QEP,PVAC
PXD,SLCA,RDC,PXD
QEP,SM,REGI,QEP
RDC,SN,REI,QES
REGI,SND,REN,RDC
REI,SPN,RES,REGI
RES,STNG,REX,REI
REX,SWN,RIG,REN
REXX,SYRG,RNET,RES
RNET,TDW,RNGR,REX
RRC,TESO,ROSE,RIG
RSPP,TK,RRC,RNET
SD,TNK,RSPP,ROSE
SDRL,TRGP,SBOW,RRC
SE,TSO,SD,SBOW
SEMG,TTI,SEMG,SD
SFL,TUSK,SFL,SEMG
SGY,UNT,SGY,SFL
SLB,VLO,SLB,SLB
SLCA,WFT,SLCA,SLCA
SM,WG,SM,SM
SN,WLB,SMHI,SMHI
SPN,WLL,SN,SN
SSE,WMB,SND,SND
STNG,WNR,SOI,SOI
SWN,WPX,SPN,SPN
SYRG,WTI,SRCI,SRCI
SZYM,XCO,STNG,STNG
TAT,XEC,SWN,SWN
TDW,XOG,TELL,TALO
TESO,XOM,TK,TDW
TK,,TNK,TELL
TNK,,TRGP,TK
TPLM,,TTI,TNK
TRGP,,TUSK,TRGP
TSO,,UEC,TTI
TTI,,UNT,TUSK
UEC,,UPL,UEC
UNT,,VLO,UNT
UPL,,WFT,UPL
UUUU,,WG,UUUU
VLO,,WLB,VLO
WFT,,WLL,WFT
WLB,,WMB,WHD
WLL,,WPX,WLL
WMB,,WRD,WMB
WNR,,WTI,WPX
WPX,,WTTR,WRD
WTI,,XEC,WTI
XCO,,XOG,WTTR
XEC,,XOM,XEC
XOM,,,XOG
,,,XOM
,,,ZN
